		sensor 1
		sensor 2
		sensor 1
		sensor 2
Connecting to server... 
Connected to server at 192.168.100.10:5000
  6975;97692.86;107513.20
  6983;97692.97;107512.95
  6992;97692.70;107513.05
  6999;97692.64;107512.70
  7009;97692.70;107512.80
  7017;97692.44;107513.28
  7025;97692.50;107512.64
  7033;97692.73;107512.73
  7042;97692.70;107512.92
  7050;97692.80;107513.20
  7058;97692.41;107513.20
  7067;97692.77;107512.89
  7075;97692.50;107512.92
  7084;97692.97;107512.75
  7093;97693.09;107513.08
  7101;97692.75;107512.73
  7110;97692.84;107513.06
  7118;97692.88;107512.84
  7126;97692.89;107512.81
  7135;97692.80;107512.95
  7143;97692.62;107512.72
  7152;97692.50;107512.77
  7159;97693.59;107513.02
  7168;97693.27;107513.02
  7176;97693.17;107512.83
  7185;97692.94;107513.20
  7193;97692.72;107513.11
  7203;97692.30;107512.75
  7210;97692.64;107512.75
  7219;97692.66;107512.66
  7227;97692.89;107512.41
  7235;97692.67;107512.89
  7245;97692.78;107512.84
  7252;97692.78;107512.98
  7262;97692.31;107512.77
  7270;97692.53;107512.83
  7278;97692.62;107513.33
  7287;97692.80;107512.70
  7295;97692.11;107512.89
  7304;97692.97;107512.78
  7311;97692.36;107512.58
  7320;97692.53;107512.81
  7328;97692.69;107512.95
  7337;97692.75;107512.77
  7345;97692.47;107513.11
  7354;97692.03;107512.61
  7362;97692.53;107512.88
  7371;97692.16;107513.34
  7380;97692.94;107512.78
  7389;97692.44;107512.89
  7397;97692.33;107512.62
  7405;97692.77;107512.80
  7413;97692.72;107512.55
  7421;97692.58;107512.91
  7430;97692.64;107512.84
  7438;97693.06;107512.56
  7447;97692.42;107512.67
  7455;97692.78;107512.70
  7464;97692.34;107512.72
  7471;97692.45;107512.53
  7480;97692.33;107512.38
  7489;97692.64;107512.59
  7498;97692.44;107512.89
  7506;97692.88;107513.03
  7513;97692.25;107512.56
  7523;97692.72;107512.73
  7530;97692.27;107512.66
  7540;97692.73;107512.81
  7547;97692.62;107512.48
  7556;97692.48;107512.81
  7565;97692.42;107512.78
  7572;97692.31;107512.67
  7581;97692.48;107512.64
  7589;97692.67;107512.56
  7599;97692.73;107512.52
  7606;97692.53;107512.73
  7615;97692.48;107512.95
  7624;97692.66;107512.67
  7632;97692.44;107512.88
  7641;97692.61;107512.58
  7649;97692.55;107512.70
  7657;97692.62;107512.72
  7666;97692.38;107512.78
  7674;97691.86;107512.42
  7683;97692.77;107512.67
  7691;97692.59;107512.66
  7699;97692.88;107512.61
  7708;97692.39;107512.58
  7716;97692.66;107512.45
  7725;97692.48;107512.50
  7733;97692.33;107512.77
  7742;97692.36;107512.77
  7750;97692.75;107512.78
  7758;97692.28;107512.66
  7767;97692.30;107512.56
  7776;97692.67;107512.86
  7784;97692.34;107512.77
  7792;97692.62;107512.56
  7800;97692.67;107512.56
  7809;97692.16;107512.53
  7817;97692.86;107512.91
  7825;97692.27;107512.75
  7834;97691.83;107512.73
  7843;97692.11;107512.08
  7851;97691.84;107512.52
  7859;97692.55;107512.34
  7868;97692.52;107512.77
  7876;97692.67;107512.48
  7884;97692.80;107512.22
  7893;97691.80;107512.92
  7901;97692.47;107512.67
  7910;97692.38;107512.73
  7918;97692.28;107512.66
  7927;97692.61;107512.66
  7935;97692.52;107512.45
  7944;97692.09;107512.69
  7952;97692.23;107512.44
  7961;97692.53;107512.34
  7969;97691.97;107512.55
  7977;97692.42;107512.39
  7985;97692.53;107512.75
  7994;97692.66;107512.00
  8003;97691.97;107512.52
  8011;97692.47;107512.59
  8020;97691.92;107512.72
  8028;97692.22;107512.67
  8036;97692.27;107512.72
  8045;97692.36;107512.44
  8053;97692.75;107512.81
  8062;97692.58;107512.42
  8070;97692.53;107512.50
  8079;97692.55;107512.73
  8087;97692.61;107512.72
  8095;97692.53;107512.50
  8104;97692.11;107512.77
  8112;97692.34;107512.56
  8121;97692.67;107512.58
  8129;97692.14;107512.23
  8137;97692.36;107512.56
  8146;97692.47;107512.72
  8154;97692.16;107512.41
  8163;97692.17;107512.23
  8171;97692.70;107512.66
  8180;97692.61;107512.36
  8188;97692.39;107512.55
  8197;97692.00;107512.36
  8205;97691.95;107512.55
  8213;97692.20;107512.27
  8222;97692.33;107512.53
  8230;97692.69;107512.58
  8239;97692.22;107512.22
  8247;97692.39;107512.14
  8256;97691.89;107512.44
  8265;97692.55;107512.41
  8273;97692.09;107512.53
  8281;97692.47;107512.64
